TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
308,1888,2,1282.87927246,10.2340693622,663,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
339,1888,1,1289.08886719,10.4051869027,667,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
371,1888,1.33333337307,1318.96557617,10.4521453121,633,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
403,1888,-1.11111114055,1323.15698242,10.6148442053,576,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
455,1888,-6.99999968708,904.196716309,13.1850338879,2647,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
487,1888,1,1464.88879395,10.3050202552,473,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
519,1888,2,1428.82092285,10.5870362241,461,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
551,1888,2.75,1436.13134766,10.4983892365,483,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
583,1888,1,1394.01586914,10.7785745971,517,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
615,1888,1.75,1412.17712402,10.6490050108,473,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
666,1888,-5.99999982119,904.347229004,13.183169746,2648,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
698,1888,-5.99999982119,1448.88574219,10.4796145485,458,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
730,1888,-1.12499999162,1430.89453125,10.5542994497,471,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
762,1888,1,1410.92541504,10.6937319486,482,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
794,1888,2,1409.96447754,10.6590879281,498,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
826,1888,1,1411.50915527,10.6578948833,495,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
879,1888,-6.99999968708,904.257995605,13.1844111089,2648,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
