TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
8,5725.89986406,90.4596979928,2318.16821289,40.602901885,570,-1[149-2][264-2][320-2];5251.98097041,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406,[100-2][264-2][320-2][371-2][521-2][563-2];5296.3460722,[264-2][320-2][371-2][521-2][553-2][563-2];5296.3460722
8,5725.89986406,57.2053643669,2454.6809082,40.1770633785,560,-1[149-2][264-2][320-2];5251.98097041,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406,[194-2][264-2][320-2][371-2][521-2][563-2];5296.3460722,[264-2][320-2][371-2][429-2][521-2][563-2];5296.3460722
9,5725.89986406,84.2416975653,2534.48779297,39.3235051162,561,-1[149-2][264-2][320-2];5251.98097041,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406,[264-2][320-2][371-2][426-2][521-2][563-2];5296.3460722,[264-2][320-2][371-2][521-2][553-2][563-2];5296.3460722
9,5725.89986406,51.3723377905,2608.0637207,43.7728403502,544,-1[149-2][264-2][320-2];5251.98097041,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406,[93-2][264-2][320-2][371-2][521-2][563-2];5296.3460722,[264-2][320-2][371-2][454-2][521-2][563-2];5296.3460722
9,5847.51088962,23.6159042652,2679.10107422,50.3209294587,538,-1[149-2][264-2][320-2];5251.98097041,[59-2][264-2][320-2][332-2][521-2][563-2];5847.51088962,[188-2][264-2][320-2][429-2][521-2][563-2];5739.29680284,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406
9,5847.51088962,23.6159042652,2646.92016602,46.9097077224,545,-1[149-2][264-2][320-2];5251.98097041,[59-2][264-2][320-2][332-2][521-2][563-2];5847.51088962,[188-2][264-2][320-2][429-2][521-2][563-2];5739.29680284,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406
9,5847.51088962,55.2440377237,2593.26196289,56.0071460763,554,-1[149-2][264-2][320-2];5251.98097041,[59-2][264-2][320-2][332-2][521-2][563-2];5847.51088962,[188-2][264-2][320-2][429-2][521-2][563-2];5739.29680284,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406
9,5847.51088962,80.0662530105,2658.2824707,42.8705068396,568,-1[149-2][264-2][320-2];5251.98097041,[59-2][264-2][320-2][332-2][521-2][563-2];5847.51088962,[188-2][264-2][320-2][429-2][521-2][563-2];5739.29680284,[152-2][264-2][320-2][440-2][521-2][563-2];5732.84414351
10,6437.48915735,59.2653692582,2868.13378906,54.3058314014,522,-1[149-2][264-2][320-2];5251.98097041,[152-2][264-2][320-2][429-2][521-2][563-2];6437.48915735,[59-2][264-2][308-2][320-2][521-2][563-2];5847.51088962,[59-2][264-2][320-2][332-2][521-2][563-2];5847.51088962
10,6437.48915735,31.3500864472,2876.03735352,47.6351499576,530,-1[149-2][264-2][320-2];5251.98097041,[152-2][264-2][320-2][429-2][521-2][563-2];6437.48915735,[152-2][264-2][320-2][326-2][521-2][563-2];6159.05673482,[59-2][264-2][320-2][332-2][521-2][563-2];5847.51088962
10,6437.48915735,61.2102915146,3186.83032227,53.7693519975,480,-1[149-2][264-2][320-2];5251.98097041,[152-2][264-2][320-2][344-2][521-2][563-2];6437.48915735,[152-2][264-2][320-2][429-2][521-2][563-2];6437.48915735,[152-2][264-2][320-2][326-2][521-2][563-2];6159.05673482
10,6437.48915735,85.9910384117,3101.01293945,56.7578439424,495,-1[149-2][264-2][320-2];5251.98097041,[152-2][264-2][320-2][429-2][521-2][563-2];6437.48915735,[152-2][264-2][320-2][344-2][521-2][563-2];6437.48915735,[152-2][264-2][285-2][320-2][521-2][563-2];6203.84253433
10,6437.48915735,61.2196764807,3389.54614258,51.0774895052,454,-1[149-2][264-2][320-2];5251.98097041,[152-2][264-2][320-2][344-2][521-2][563-2];6437.48915735,[152-2][264-2][320-2][429-2][521-2][563-2];6437.48915735,[93-2][152-2][264-2][320-2][521-2][563-2];6437.48915735
