TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
1,1752.98632505,8.1838680168,1528.32775879,13.1082395687,30,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,0,847.29473877,36.8708180303,120,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
0,75.5660046624,0,18.5460300446,0.750010120941,168,-1[149-2][264-2][320-2];5251.98097041,[229-2][320-2];75.5660046624,[306-2][320-2];74.2371281754,[269-2][320-2];69.9613268877
0,92.5993100747,0,28.5451259613,0.687193181411,163,-1[149-2][264-2][320-2];5251.98097041,[58-2][320-2];92.5993100747,[43-2][320-2];89.0843451843,[289-2][320-2];82.1022046063
0,105.461523063,0.189704384053,44.8525314331,1.03718521264,129,-1[149-2][264-2][320-2];5251.98097041,[245-2][320-2];105.461523063,[58-2][320-2];92.5993100747,[175-2][320-2];90.7315825534
0,113.931824527,0.189704384053,62.1889343262,1.28869150523,100,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[305-2][320-2];100.6810324
0,113.931824527,1.22150324787,67.8133010864,1.40899498727,102,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[305-2][320-2];100.6810324
0,113.931824527,3.17572478284,71.2033691406,1.44997239854,90,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[305-2][320-2];100.6810324
0,113.931824527,3.13560702525,72.5720977783,0.992810357684,93,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[305-2][320-2];100.6810324
0,113.931824527,0,72.1449203491,0.677464104339,107,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[305-2][320-2];100.6810324
0,113.931824527,0,71.6349334717,0.956531763944,109,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[305-2][320-2];100.6810324
0,113.931824527,0,71.7950897217,1.12023733976,118,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[320-2][448-2];104.725754708
0,113.931824527,0.887678437773,73.0600891113,1.53400400812,109,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[320-2][448-2];104.725754708
0,113.931824527,0.887678437773,76.2143707275,0.937568124476,107,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[320-2][448-2];104.725754708
0,113.931824527,2.69775398328,77.945854187,0.988723459657,96,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[320-2][448-2];104.725754708
0,113.931824527,1.22150324787,79.3638534546,0.839333348342,93,-1[149-2][264-2][320-2];5251.98097041,[320-2][376-2];113.931824527,[245-2][320-2];105.461523063,[320-2][448-2];104.725754708
0,129.988402311,0.56678969179,82.061920166,1.36451521649,86,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.56678969179,79.0140380859,1.12514046642,100,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.56678969179,84.3058929443,1.17225846676,87,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.56678969179,89.2873764038,1.19085581102,80,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,9.06518546139,88.1231460571,0.890000265522,79,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.434586942503,87.4177627563,1.05191192579,85,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.112953623104,90.1970443726,1.05078472933,81,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.288109947521,87.7524490356,1.606365008,84,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,1.14404221604,90.7900314331,1.18404845006,77,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,0.976278091666,94.5263595581,1.61593563122,63,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,129.988402311,1.55000146146,95.8865585327,1.39612140846,71,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][363-2];114.708182325,[320-2][376-2];113.931824527
0,74.2371281754,0.870647752894,18.9797153473,0.485704647784,182,-1[149-2][264-2][320-2];5251.98097041,[306-2][320-2];74.2371281754,[320-2][381-2];71.8016648172,[40-2][320-2];67.7208560762
0,92.5993100747,1.90526023495,31.7853946686,1.46289312159,162,-1[149-2][264-2][320-2];5251.98097041,[58-2][320-2];92.5993100747,[178-2][320-2];91.2376419609,[139-2][320-2];87.7773794218
0,129.988402311,1.90526023495,51.7241821289,1.40166718782,118,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927,[320-2][376-2];113.931824527
0,129.988402311,4.36233061441,64.6380615234,1.3905603998,104,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927,[320-2][376-2];113.931824527
0,129.988402311,0.189704384053,72.1586685181,1.2985653509,82,-1[149-2][264-2][320-2];5251.98097041,[32-2][320-2];129.988402311,[320-2][488-2];114.379005927,[320-2][376-2];113.931824527
